gene,chr,start,end,strand,length,control1,control2,control3,control4,control5,control6,exposed1,exposed2,exposed3,exposed4,exposed5,exposed6,control_mean,exposed_mean
Olfr1508,14,"52,456,154","52,467,532",-,"8,503","1,660.93","1,681.35","1,418.04","1,360.88","1,444.79","1,571.90","2,226.69","2,136.32","2,027.97","1,391.24","1,119.02","1,289.89","1,522.98","1,698.52"
Olfr195,16,"59,147,058","59,150,777",+,"2,069","1,446.17","1,669.41","1,181.13","1,382.15","1,673.11","1,578.94","1,298.37","1,455.53","1,598.08","1,310.10","1,351.21","1,474.16","1,488.49","1,414.58"
Olfr455,6,"42,535,659","42,547,641",-,"4,401","1,478.21","1,792.19","1,465.25","1,324.59","1,554.83","1,311.48","1,674.75","1,363.28","1,520.47","1,378.63","1,160.91","1,479.96","1,487.76","1,429.67"
Olfr726,14,"50,083,570","50,090,953",-,"1,774","1,672.19","1,441.76","1,502.16","1,241.37","1,351.96","1,440.52","1,271.22","1,544.37","1,423.97","1,308.52","1,373.06","1,379.12","1,441.66","1,383.38"
Olfr1257,2,"89,878,437","89,883,026",+,"2,761","1,621.10","1,795.60","1,455.81",986.71,"1,485.96","1,258.31","1,679.17","1,509.35","1,756.00","1,414.87","1,207.34","1,473.43","1,433.91","1,506.70"
Olfr1301,2,"111,751,006","111,758,945",+,"1,207","1,456.56","1,193.65","1,314.18","1,328.34","1,439.55","1,752.56","1,203.65","1,340.22","1,128.38","1,332.15","1,556.07","1,345.75","1,414.14","1,317.70"
Olfr1192-ps1,2,"88,648,509","88,659,772",+,"6,657","1,438.38","1,674.53","1,198.30","1,139.38","1,240.42","1,500.74","1,041.35","1,445.28","1,110.83","1,512.56",914.16,"1,212.99","1,365.29","1,206.20"
Olfr211,6,"116,489,012","116,498,221",+,"4,959","1,112.77","1,342.01","1,142.50","1,424.07","1,396.13","1,535.93","1,259.85","1,085.67","1,253.90","1,536.19","1,790.07","1,565.57","1,325.57","1,415.21"
Olfr213,6,"116,538,382","116,544,354",+,"4,249","1,352.65","1,418.74","1,636.93","1,109.97","1,083.96","1,273.95","1,517.51","1,334.24","1,300.47","1,218.71","1,300.22","1,165.83","1,312.70","1,306.16"
Olfr1348,7,"6,500,610","6,508,779",-,"1,956","1,479.08","1,579.89","1,315.89","1,021.13","1,276.35","1,072.96","1,827.57","1,702.39","1,804.59","1,039.10","1,095.35","1,120.13","1,290.88","1,431.52"
Olfr1382,11,"49,528,247","49,538,691",+,"4,633","1,158.67","1,385.49","1,170.83","1,272.03","1,188.02","1,191.05","1,463.20","1,300.93","1,347.71","1,293.55","1,245.59","1,313.10","1,227.68","1,327.35"
Olfr6,7,"106,953,261","106,963,937",-,"5,288","1,191.58","1,383.79","1,185.42","1,089.33","1,243.42","1,254.40","1,003.46",910.56,988.68,"1,065.09","1,089.89","1,078.78","1,224.65","1,022.74"
Olfr1260,2,"89,974,459","89,979,934",+,"2,704","1,265.19","1,398.28","1,078.98","1,040.52","1,152.09","1,267.69","1,470.77","1,511.91","1,670.97","1,191.14","1,203.70","1,276.11","1,200.46","1,387.43"
Olfr168,16,"19,529,278","19,535,556",-,"2,317","1,374.30","1,488.66","1,342.50",839.68,"1,084.71","1,065.14","1,202.39","1,206.97","1,281.57","1,292.77","1,328.44","1,299.32","1,199.16","1,268.57"
Olfr1463,19,"13,231,339","13,235,812",+,"1,716","1,131.83",918.26,"1,143.36","1,319.58","1,137.86","1,205.91","1,186.60","1,077.98",914.44,901.23,"1,317.52","1,225.32","1,142.80","1,103.85"
Olfr1426,19,"12,086,752","12,092,013",-,"3,195","1,331.86","1,180.01","1,388.85","1,069.93",878.10,"1,004.92","1,146.18",901.17,"1,145.92",959.53,"1,218.27","1,087.48","1,142.28","1,076.43"
Olfr1372-ps1,11,"52,154,722","52,168,159",-,"9,813",795.83,"1,334.34","1,084.99","1,136.25","1,185.77","1,107.37","1,437.94",934.48,"1,574.46","1,001.28",896.86,"1,136.09","1,107.43","1,163.52"
Olfr169,16,"19,564,889","19,571,809",-,"2,485","1,362.17","1,503.15","1,114.17",794.00,970.18,897.00,"1,333.11","1,128.38","1,346.36","1,048.55",936.01,968.51,"1,106.78","1,126.82"
Olfr329-ps,11,"58,539,801","58,546,441",-,"4,582","1,145.68","1,158.70","1,053.23",877.22,"1,262.13","1,096.42","1,477.09","1,757.06","1,864.65",947.71,806.72,993.90,"1,098.90","1,307.86"
Olfr1195,2,"88,680,751","88,689,222",-,"4,085","1,196.77","1,191.10",877.26,851.56,"1,027.82",994.76,"1,288.90","1,496.54","1,423.97","1,000.49",812.18,881.45,"1,023.21","1,150.59"
Olfr740,14,"50,445,545","50,456,933",+,"4,103",981.15,"1,182.57","1,056.66",934.78,"1,060.76",884.49,973.78,903.73,895.55,"1,170.66","1,227.38","1,021.46","1,016.73","1,032.09"
Olfr1240,2,"89,436,294","89,442,998",-,"4,603",953.44,949.81,862.67,"1,036.77","1,101.18","1,035.42","1,055.24",782.44,"1,039.29","1,003.65","1,222.82","1,088.93",989.88,"1,032.06"
Olfr220,1,"174,442,075","174,454,825",+,"6,421","1,024.44","1,090.49","1,097.86",895.36,783.78,882.93,"1,191.02","1,093.36","1,211.38",933.53,"1,025.24",979.39,962.48,"1,072.32"
Olfr281,15,"98,452,059","98,460,395",+,"5,065","1,129.23",943.84,845.50,678.25,"1,092.95",997.89,938.42,"1,068.59","1,042.67","1,110.00",815.82,"1,247.81",947.94,"1,037.22"
Olfr328,11,"58,550,854","58,555,630",-,"2,926","1,030.51","1,151.02","1,215.46",617.56,843.67,764.84,"1,132.29","1,000.25","1,194.51",626.29,548.13,769.00,937.18,878.41
Olfr706,7,"106,882,589","106,888,162",-,"4,931","1,132.69",920.82,951.08,986.71,746.35,877.45,794.43,826.85,742.35,884.69,845.87,734.18,935.85,804.73
Olfr449,6,"42,834,336","42,839,668",+,"2,127",880.69,"1,052.12","1,005.16",856.57,854.89,936.89,820.96,897.75,946.84,898.87,912.34,914.82,931.05,898.60
Olfr286,15,"98,224,225","98,234,599",-,"4,495","1,014.92","1,063.21",842.07,805.89,889.33,868.85,811.48,872.98,774.75,701.13,620.06,736.35,914.04,752.79
Olfr60,7,"140,343,833","140,362,323",-,"3,999",819.21,"1,010.34",883.27,889.11,991.89,813.32,"1,013.57",919.10,944.14,959.53,"1,058.93","1,078.05",901.19,995.55
Olfr743,14,"50,521,839","50,535,038",+,"2,286",965.56,962.60,745.07,852.82,981.41,896.22,774.22,903.73,709.96,789.37,755.73,"1,013.48",900.61,824.42
Olfr1294,2,"111,532,725","111,540,226",-,"5,723",877.23,900.36,869.54,912.88,818.96,990.07,898.63,828.56,782.17,768.88,"1,023.42",844.45,894.84,857.69
Olfr1509,14,"52,442,990","52,453,332",+,"3,300","1,182.05",867.96,862.67,686.38,921.52,807.07,"1,237.12","1,517.04","1,372.00",758.64,611.87,841.55,887.94,"1,056.37"
Olfr535,7,"140,484,216","140,497,104",+,"5,215","1,098.05","1,087.08","1,015.46",714.54,760.57,638.15,"1,240.91","1,025.88","1,077.09",725.56,880.47,790.04,885.64,956.66
Olfr167,16,"19,509,558","19,522,266",-,"7,435",788.90,986.47,899.58,735.81,869.87,979.90,919.47,817.46,803.09,758.64,797.61,766.82,876.75,810.52
Olfr1262,2,"90,000,145","90,008,468",+,"6,504",981.15,960.89,900.44,800.26,819.71,790.64,"1,023.04",879.81,904.32,817.73,857.71,952.54,875.51,905.86
Olfr1349,7,"6,513,269","6,522,888",-,"5,069",805.35,"1,068.32",908.16,824.03,877.35,760.14,872.74,874.69,819.29,896.51,925.08,917.00,873.89,884.22
Olfr1097,2,"86,886,773","86,892,216",-,"4,723",883.29,"1,071.73",819.75,687.63,732.87,840.70,802.01,772.18,825.36,937.47,628.26,887.25,839.33,808.76
Olfr1427,19,"12,098,006","12,103,334",-,"4,683",866.84,898.65,751.08,867.83,755.33,803.16,808.96,712.39,745.05,751.55,"1,010.67",843.00,823.82,811.94
Olfr788,10,"129,470,998","129,476,618",+,"4,747",802.76,842.38,827.48,825.28,722.39,905.60,694.66,688.47,698.49,837.42,816.73,828.49,820.98,760.71
Olfr1440,19,"12,387,286","12,401,584",+,"7,616",909.27,925.08,981.13,724.55,631.81,685.07,831.69,597.93,649.22,674.35,788.51,650.02,809.48,698.62
Olfr332,11,"58,487,940","58,492,646",-,"3,527",832.20,807.42,927.05,768.35,727.63,736.68,767.28,615.01,691.06,717.68,744.80,672.51,799.89,701.39
Olfr705,7,"106,872,239","106,876,891",-,"2,716",859.04,663.33,845.50,937.28,744.85,724.17,"1,005.36",794.39,790.27,793.31,946.03,850.25,795.70,863.27
Olfr31,14,"14,322,828","14,331,791",+,"4,194",736.08,722.16,697.00,829.04,924.51,762.49,852.53,"1,040.40","1,033.22",890.99,981.54,914.09,778.55,952.13
Olfr1212,2,"88,953,891","88,961,313",+,"5,712",879.83,985.62,787.13,578.14,744.85,688.20,696.55,797.81,844.93,820.88,753.00,831.39,777.29,790.76
Olfr1258,2,"89,927,307","89,933,646",+,"4,412",828.74,667.59,878.12,801.51,704.43,757.02,745.18,658.58,621.55,680.65,824.02,714.59,772.90,707.43
Olfr1213,2,"88,972,144","88,980,257",-,"2,499",791.50,890.13,678.98,689.51,848.91,738.25,713.60,660.29,739.65,929.59,734.79,831.39,772.88,768.22
Olfr729,14,"50,144,731","50,152,910",-,"4,285",857.31,926.79,672.97,656.35,727.63,767.18,764.75,874.69,824.69,768.10,603.67,753.04,768.04,764.82
Olfr1263,2,"90,012,153","90,018,526",+,"4,480",787.17,820.21,783.70,685.13,851.15,661.61,834.22,"1,048.09","1,018.37",697.98,675.60,798.74,764.83,845.50
Olfr1193,2,"88,675,628","88,681,143",+,"3,690",708.37,815.95,694.43,713.29,842.92,678.81,754.65,914.83,905.67,775.97,935.10,835.02,742.29,853.54
Olfr212,6,"116,506,516","116,517,967",+,"2,806",822.67,811.69,709.02,715.16,674.48,683.50,894.84,768.77,790.27,711.38,847.69,799.47,736.09,802.07
Olfr1261,2,"89,991,238","89,996,189",+,"3,252",607.05,692.32,576.83,948.55,762.07,791.43,823.48,805.50,816.59,755.49,893.22,"1,166.56",729.71,876.81
Olfr701,7,"106,814,144","106,823,460",+,"6,067",741.27,653.95,800.01,832.79,675.23,674.12,753.39,667.97,718.06,704.29,727.50,751.59,729.56,720.47
Olfr1232,2,"89,325,037","89,329,650",-,"2,316",650.34,605.35,819.75,834.04,684.22,755.45,747.07,637.22,607.38,804.33,777.58,742.88,724.86,719.41
Olfr1206,2,"88,863,231","88,867,753",+,"3,303",799.29,803.16,608.59,661.98,640.80,823.49,733.18,968.65,726.16,872.87,668.32,792.94,722.88,793.69
Olfr532,7,"140,415,710","140,421,639",-,"4,232",676.32,732.39,726.19,761.46,655.02,745.29,781.80,695.31,690.39,723.98,633.72,709.51,716.11,705.78
Olfr291,7,"84,853,573","84,859,612",+,"3,451",746.47,590.86,644.64,913.51,751.59,609.99,846.85,594.51,596.58,586.90,894.13,861.86,709.51,730.14
Olfr314,11,"58,782,952","58,788,768",+,"2,724",700.57,877.34,805.16,549.36,735.87,574.02,853.16,976.34,949.54,631.02,605.49,692.83,707.05,784.73
Olfr820,10,"130,012,634","130,021,066",+,"4,875",668.53,724.72,724.47,661.35,701.43,759.36,596.77,505.68,580.38,746.83,895.95,867.66,706.64,698.88
Olfr55,17,"33,168,447","33,180,753",+,"4,781",767.25,792.93,908.16,620.68,506.05,571.67,635.93,595.37,608.73,607.39,654.66,618.10,694.46,620.03
Olfr1252,2,"89,719,575","89,725,012",-,"4,625",749.07,784.40,654.94,673.87,509.04,792.99,"1,000.94",848.21,817.26,578.24,724.77,646.40,694.05,769.30
Olfr1364,13,"21,571,813","21,581,759",-,"3,119",739.54,821.92,770.82,738.94,526.26,553.69,"1,179.65","1,019.04",990.03,"1,002.07",966.97,957.62,691.86,"1,019.23"
Olfr1229,2,"89,280,476","89,288,014",-,"3,742",709.23,749.44,734.77,553.74,738.11,636.58,701.60,672.24,680.26,712.95,689.26,809.63,686.98,710.99
Olfr183,16,"58,995,357","59,001,441",+,"2,411",928.32,824.47,863.53,416.08,630.32,456.71,163.56,758.52,788.24,532.55,404.27,501.30,686.57,524.74
Olfr1259,2,"89,940,532","89,948,664",-,"4,557",670.26,642.87,718.46,780.86,625.08,659.26,714.23,659.43,680.94,697.20,709.29,819.78,682.80,713.48
Olfr1428,19,"12,107,355","12,116,021",-,"2,659",710.10,734.95,733.91,676.37,568.93,653.79,776.12,747.41,772.72,695.62,623.70,585.46,679.67,700.17
Olfr527,7,"140,334,017","140,338,551",+,"3,362",713.56,741.77,723.61,656.97,596.63,608.43,938.42,860.17,998.80,650.72,824.02,711.69,673.50,830.63
Olfr1099,2,"86,955,168","86,960,693",-,"4,836",705.77,727.28,704.73,649.47,527.01,673.34,672.55,682.50,532.47,624.72,636.45,634.79,664.60,630.58
Olfr1224-ps1,2,"89,155,336","89,160,428",-,"2,386",724.82,675.27,782.84,607.54,568.93,603.74,594.88,673.10,492.65,480.55,591.84,488.24,660.52,553.54
Olfr1222,2,"89,122,885","89,133,052",-,"3,948",605.31,666.74,653.23,707.03,584.65,732.77,529.20,505.68,562.16,627.87,673.78,610.12,658.29,584.80
Olfr531,7,"140,399,045","140,402,918",-,"3,874",722.22,671.00,798.29,595.66,604.86,556.81,808.33,633.81,525.05,612.90,804.90,658.73,658.14,673.95
Olfr17,7,"107,093,220","107,098,750",+,"2,608",731.75,654.81,671.25,656.35,601.87,632.67,548.78,561.20,517.62,707.44,706.56,631.89,658.12,612.25
Olfr730,14,"50,183,296","50,188,198",-,"4,903",782.84,835.56,737.35,539.34,416.22,569.33,508.99,456.14,697.81,565.63,479.84,469.38,646.77,529.63
Olfr733,14,"50,295,512","50,301,522",-,"4,073",592.32,602.80,713.31,642.58,639.30,574.80,697.81,611.60,520.32,593.21,716.58,597.06,627.52,622.76
Olfr523,7,"140,173,217","140,178,758",+,"5,279",694.51,741.77,811.17,549.36,486.59,478.61,555.72,564.62,686.34,532.55,529.92,562.24,627.00,571.90
Olfr711,7,"106,970,681","106,975,451",-,"3,735",609.64,647.98,509.88,614.43,736.62,642.84,642.87,678.22,806.46,596.36,554.50,639.87,626.90,653.05
Olfr524,7,"140,198,499","140,205,964",-,"5,059",671.99,737.51,623.18,554.36,595.13,548.21,312.59,327.15,290.87,222.16,203.05,238.68,621.73,265.75
Olfr868,9,"20,098,626","20,104,754",+,"4,253",809.68,422.89,659.23,586.90,522.52,715.57,489.42,538.14,624.25,577.45,634.63,677.59,619.47,590.25
Olfr1015,2,"85,782,005","85,787,814",+,"2,497",693.64,530.32,695.29,651.34,509.04,560.72,502.05,526.18,483.88,516.00,578.18,557.16,606.73,527.24
Olfr140,2,"90,049,380","90,063,838",-,"3,818",734.34,639.46,643.78,593.78,473.86,531.79,560.78,421.11,529.09,553.03,578.18,510.01,602.84,525.37
Olfr1395,11,"49,142,274","49,150,453",+,"2,984",471.09,428.86,533.91,763.34,678.23,727.30,777.38,697.02,629.65,612.11,796.70,775.53,600.45,714.73
Olfr1352,10,"78,981,050","78,987,903",+,"4,356",575.01,584.89,533.91,730.81,585.40,580.28,594.88,471.51,556.09,619.99,757.55,665.98,598.38,611.00
Olfr285,15,"98,309,074","98,317,353",-,"5,459",602.72,636.90,613.74,531.21,624.33,575.58,581.62,621.85,586.46,683.80,653.75,675.41,597.41,633.82
Olfr1205,2,"88,829,737","88,837,104",+,"6,150",691.91,630.08,466.96,514.32,601.12,641.27,361.22,515.07,408.29,316.69,230.36,342.42,590.94,362.34
Olfr742,14,"50,503,600","50,517,145",+,"2,318",674.59,646.28,569.96,441.11,594.38,551.34,541.20,638.08,626.95,575.09,539.94,608.67,579.61,588.32
Olfr1420,19,"11,886,559","11,898,079",+,"3,134",599.25,589.15,539.06,537.47,552.46,644.40,551.30,564.62,716.03,547.51,569.98,580.38,576.97,588.30
Olfr224,11,"58,565,856","58,569,255",-,"2,148",455.50,697.44,594.86,499.30,640.05,571.67,816.54,802.94,833.46,495.52,417.93,490.42,576.47,642.80
Olfr117,17,"37,657,600","37,663,782",-,"3,533",595.79,572.10,580.26,677.62,439.42,581.84,673.18,606.47,488.60,617.63,795.79,650.02,574.51,638.62
Olfr392,11,"73,811,740","73,817,049",-,"3,904",583.67,592.56,536.49,601.29,555.46,574.02,572.14,414.28,503.45,565.63,570.89,517.26,573.91,523.94
Olfr1359,13,"21,698,111","21,706,833",+,"4,440",643.42,707.67,571.68,458.63,580.91,478.61,340.38,331.42,278.72,230.03,270.42,237.95,573.49,281.49
Olfr318,11,"58,718,320","58,724,007",-,"3,422",603.58,579.78,564.81,539.34,550.22,539.61,525.41,468.95,498.05,533.33,488.04,567.32,562.89,513.52
Olfr239,17,"33,191,302","33,204,011",+,"5,278",618.30,699.14,683.27,489.29,404.24,480.17,452.16,443.32,431.24,431.71,478.02,470.11,562.40,451.09
Olfr32,2,"90,136,073","90,142,293",-,"3,348",607.05,477.46,632.62,517.45,573.42,545.87,459.10,484.32,418.42,582.97,655.57,616.65,558.98,536.17
Olfr1197,2,"88,725,972","88,732,459",-,"4,091",619.17,569.54,545.93,515.57,532.25,566.98,656.76,547.53,574.31,548.30,578.18,597.06,558.24,583.69
Olfr190,16,"59,067,102","59,077,951",-,"8,224",449.44,509.86,405.15,589.40,762.82,630.33,492.57,546.68,579.71,565.63,504.43,597.06,557.83,547.68
Olfr1110,2,"87,134,149","87,140,300",-,"2,683",584.53,483.43,631.77,609.42,559.95,416.83,620.14,496.28,495.35,523.09,615.51,466.48,547.65,536.14
Olfr389,11,"73,774,849","73,780,713",-,"3,490",591.46,467.23,409.45,526.83,565.19,719.48,542.46,375.84,393.45,510.49,425.21,475.18,546.61,453.77
Olfr1412,1,"92,585,779","92,591,375",+,"3,663",525.64,583.19,486.70,593.78,511.29,549.78,544.99,440.76,473.76,590.84,698.37,613.02,541.73,560.29
Olfr805,10,"129,721,221","129,729,415",-,"3,339",574.14,567.84,548.50,468.02,519.52,545.08,390.27,444.18,478.48,533.33,496.23,617.38,537.18,493.31
Olfr1370,13,"21,069,334","21,074,947",-,"4,322",472.82,438.24,422.32,719.54,571.18,559.94,485.63,378.40,462.28,516.79,554.50,489.69,530.67,481.22
Olfr390,11,"73,782,964","73,790,446",+,"3,772",539.50,494.51,545.07,593.15,432.69,574.80,568.99,456.14,518.30,372.63,466.18,473.73,529.95,475.99
Olfr374,8,"72,106,920","72,118,200",+,"8,054",560.28,519.24,654.08,538.72,461.13,430.91,599.30,507.39,595.91,467.95,459.81,480.99,527.39,518.56
Olfr222,11,"59,570,258","59,576,050",-,"2,347",562.02,582.33,603.44,473.65,451.40,491.12,428.79,439.91,428.54,476.61,585.46,479.54,527.33,473.14
Olfr1251,2,"89,665,873","89,671,932",-,"3,126",470.22,459.56,431.76,611.92,479.10,702.27,376.38,383.53,359.03,591.63,569.07,579.65,525.81,476.55
Olfr1183,2,"88,452,873","88,465,788",+,"5,191",688.45,558.46,430.05,386.05,447.66,636.58,527.94,419.41,709.96,553.82,488.95,442.54,524.54,523.77
Olfr1396,11,"49,109,982","49,114,874",-,"4,247",630.43,540.56,622.32,422.34,463.38,464.53,634.03,661.14,698.49,497.10,605.49,512.18,523.93,601.41
Olfr693,7,"106,675,005","106,680,584",-,"4,015",458.97,492.81,488.42,577.51,589.14,534.13,431.95,515.07,458.23,511.28,676.51,554.26,523.50,524.55
Olfr1281,2,"111,328,421","111,329,338",+,918,527.38,630.93,480.69,376.04,515.03,570.89,644.13,779.02,720.76,440.38,346.00,443.26,516.83,562.26
Olfr43,11,"74,205,664","74,211,369",-,"2,194",546.43,622.41,534.77,516.19,399.75,480.96,467.95,441.61,528.42,475.04,555.41,516.54,516.75,497.49
Olfr181,16,"58,924,707","58,928,755",-,"2,359",549.89,505.60,573.40,547.48,448.41,459.06,567.09,496.28,446.76,416.74,489.86,541.93,513.97,493.11
Olfr12,1,"92,617,808","92,623,412",+,"4,138",490.14,552.49,479.83,463.01,586.90,505.98,530.46,447.59,438.66,425.41,543.58,524.52,513.06,485.04
Olfr1417,19,"11,826,803","11,839,219",-,"3,582",560.28,509.86,599.15,466.76,407.98,517.71,614.45,381.82,624.25,562.48,560.88,517.26,510.29,543.52
Olfr1326-ps1,X,"74,569,375","74,574,888",-,"3,415",626.10,587.45,537.34,420.46,425.20,459.06,445.84,487.74,530.44,452.98,472.56,517.99,509.27,484.59
Olfr1346,7,"6,467,101","6,478,112",+,"4,549",613.11,434.83,407.73,516.19,561.45,519.28,476.15,589.39,525.05,585.33,440.69,560.06,508.76,529.45
Olfr541,7,"140,697,274","140,705,606",+,"1,639",520.45,512.42,517.60,480.53,549.47,447.33,673.18,527.89,537.87,514.43,702.92,570.22,504.63,587.75
Olfr1211,2,"88,926,876","88,938,111",-,"4,244",615.71,569.54,424.04,402.32,482.09,514.58,412.37,505.68,469.71,503.40,396.07,483.89,501.38,461.85
Olfr177,16,"58,870,955","58,874,693",-,"2,326",469.36,437.39,489.28,591.90,443.92,570.89,416.79,467.24,487.25,499.46,529.01,589.08,500.46,498.14
Olfr1241,2,"89,481,314","89,487,126",-,"2,446",384.49,503.04,436.91,515.57,521.02,639.71,673.18,481.76,469.71,532.55,494.41,531.77,500.12,530.56
Olfr414,1,"174,424,064","174,434,747",+,"4,526",551.62,564.43,496.14,411.70,509.04,426.21,426.27,445.03,436.64,421.47,455.26,456.32,493.19,440.16
Olfr308,7,"86,318,969","86,325,630",-,"4,240",423.46,518.39,434.34,607.54,491.08,480.96,458.47,407.45,375.23,418.32,488.04,434.56,492.63,430.34
Olfr48,2,"89,842,598","89,848,198",-,"3,098",507.46,582.33,606.01,344.76,487.33,426.21,491.31,423.68,443.39,376.56,403.36,422.95,492.35,426.87
Olfr53,7,"140,646,452","140,653,103",+,"1,358",409.60,394.76,519.32,581.89,517.28,525.53,579.72,628.68,577.69,590.06,675.60,704.43,491.40,626.03
Olfr1247,2,"89,605,248","89,614,136",-,"5,798",462.43,505.60,515.88,469.89,434.93,558.38,526.68,473.22,514.92,473.46,460.72,478.81,491.19,487.97
Olfr191,16,"59,082,908","59,089,807",-,"3,763",501.40,548.23,405.15,401.07,508.30,561.51,577.83,597.93,432.59,519.94,671.96,612.30,487.61,568.76
Olfr722,14,"49,894,085","49,901,999",-,"1,813",418.26,474.05,377.69,539.97,535.99,574.80,381.43,363.88,410.32,375.78,396.99,385.95,486.79,385.72
Olfr1200,2,"88,763,468","88,770,647",-,"5,198",540.37,562.72,626.62,351.64,407.98,390.24,564.57,415.99,522.35,386.02,490.77,429.48,479.93,468.19
Olfr24,9,"18,751,507","18,763,986",-,"4,383",583.67,468.08,455.80,473.65,428.20,394.15,297.44,390.36,361.73,489.22,416.11,391.03,467.26,390.98
Olfr1278,2,"111,290,136","111,298,886",+,"6,917",478.88,427.16,419.75,339.75,547.22,577.15,365.01,408.30,689.04,412.80,306.84,314.85,464.98,416.14
Olfr290,7,"84,913,075","84,919,351",+,"4,109",504.00,445.06,444.64,517.45,415.47,454.37,447.74,417.70,369.15,383.65,553.59,408.44,463.50,430.05
Olfr1191-ps1,2,"88,640,542","88,648,438",+,"5,933",414.80,530.32,497.86,419.84,481.35,434.82,541.20,495.43,500.08,471.10,468.92,494.05,463.16,495.13
Olfr969,9,"39,791,053","39,796,609",+,"1,463",645.15,370.89,401.72,524.33,500.81,331.59,166.72,255.40,207.86,333.24,276.80,292.37,462.41,255.40
Olfr1312,2,"112,040,308","112,050,236",-,"4,348",315.21,435.68,291.85,556.86,591.39,576.37,532.99,536.43,647.20,616.84,583.64,702.98,461.23,603.35
Olfr721-ps1,14,"14,401,298","14,410,095",+,"3,105",462.43,464.67,448.07,406.70,516.53,467.66,499.52,524.47,629.65,529.40,515.35,488.97,461.01,531.23
Olfr1392,11,"49,285,282","49,295,891",+,"3,691",494.47,493.66,440.35,463.01,401.25,472.35,587.93,439.05,526.40,608.17,571.80,514.36,460.85,541.29
Olfr46,7,"140,601,269","140,612,913",+,"3,050",471.95,527.77,503.01,407.95,446.16,391.80,473.00,493.72,539.22,452.98,451.62,427.30,458.11,472.97
Olfr1123,2,"87,416,639","87,423,514",+,"5,566",531.71,451.88,499.58,473.02,340.61,436.38,438.26,442.47,400.20,377.35,518.08,454.87,455.53,438.54
Olfr1096-ps1,2,"86,868,743","86,874,802",-,"5,304",458.10,445.92,516.74,469.27,364.57,473.14,406.69,357.05,407.62,371.05,457.99,415.70,454.62,402.68
